"","cell","Longitude(x)","Latitude(y)","Elaenia_cristata","Psittacanthus_robustus","Qualea_dichotoma","Qualea_grandiflora","Qualea_multiflora","Qualea_parviflora","Salvertia_convallariodora","Tersina_viridis","Thraupis_sayaca","Vochysia_cinnamomea","Vochysia_elliptica","Vochysia_rufa","Vochysia_thyrsoidea","Vochysia_tucanorum","bio1","bio12","bio14","bio15","bio18","bio19","bio2","bio4"
"739","739",-37.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22.7798614501953,648.14501953125,8.23279857635498,85.1600952148438,152.494857788086,80.2865600585938,9.66980171203613,171.449035644531
"740","740",-36.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22.2144794464111,627.677917480469,9.97270393371582,76.4698791503906,111.976699829102,144.533782958984,9.47673225402832,144.405609130859
"741","741",-35.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22.8958110809326,1007.84820556641,19.5453281402588,63.5204429626465,224.902893066406,376.312286376953,8.62236309051514,133.775451660156
"742","742",-73.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.8552627563477,1723.77368164062,45.7742614746094,46.9952278137207,563.215209960938,165.062026977539,10.6525688171387,50.0873947143555
"743","743",-72.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.250114440918,1756.90075683594,35.0454711914062,52.4029083251953,566.975463867188,138.507400512695,10.5115013122559,57.3533210754395
"744","744",-71.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.8252296447754,1840.07873535156,31.8943195343018,53.5582046508789,612.696655273438,136.071746826172,10.5655279159546,62.8356437683105
"745","745",-70.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.7442417144775,2013.787109375,38.7183456420898,53.5886383056641,675.451904296875,146.224761962891,10.8619174957275,68.8733596801758
"746","746",-69.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.6331329345703,2125.17797851562,36.0743522644043,55.6034698486328,767.844482421875,147.203918457031,11.4109621047974,77.1144638061523
"747","747",-68.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.6674346923828,2051.1162109375,37.0345611572266,54.7130813598633,698.478210449219,152.919067382812,11.7578220367432,83.8847503662109
"748","748",-67.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.1957626342773,1959.83312988281,29.0406513214111,58.1846733093262,563.708923339844,151.489242553711,10.9279260635376,75.7385330200195
"749","749",-66.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.7497863769531,1943.65295410156,18.7438316345215,61.4919548034668,481.559814453125,157.365203857422,10.5851354598999,63.6684074401855
"750","750",-65.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.0164737701416,1880.18078613281,18.3482704162598,62.3674392700195,462.924163818359,143.596817016602,10.6596727371216,54.9326667785645
"751","751",-64.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.9834766387939,1968.00854492188,23.3916301727295,60.6740570068359,467.312927246094,168.979736328125,10.9217176437378,50.5623207092285
"752","752",-63.64,-9.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.5819816589355,2183.18041992188,17.7459392547607,65.4649887084961,493.592620849609,170.951995849609,11.2207880020142,48.4676704406738
